WARNING 2025-11-05 19:17:01,668 log 1 129685924927040 Not Found: /graphql
WARNING 2025-11-05 19:17:02,393 log 1 129685924927040 Not Found: /api
WARNING 2025-11-05 19:17:02,591 log 1 129685924927040 Not Found: /static/assets/css.css
WARNING 2025-11-05 19:17:02,719 log 1 129685924927040 Not Found: /static/assets/js/wow.js
WARNING 2025-11-05 19:17:02,724 log 1 129685908141632 Not Found: /static/assets/js/wow.min.js
WARNING 2025-11-05 19:17:02,854 log 1 129685908141632 Not Found: /api/graphql
WARNING 2025-11-05 19:17:03,257 log 1 129685908141632 Not Found: /graphql/api
WARNING 2025-11-05 19:17:03,707 log 1 129685908141632 Not Found: /api/gql
WARNING 2025-11-05 19:17:04,521 log 1 129685908141632 Not Found: /swagger-ui.html
WARNING 2025-11-05 19:17:05,025 log 1 129685908141632 Not Found: /swagger/index.html
WARNING 2025-11-05 19:17:05,509 log 1 129685924927040 Not Found: /swagger/swagger-ui.html
WARNING 2025-11-05 19:17:05,514 log 1 129685908141632 Not Found: /World FX CO LTD_files/googlelogo_color_42x16dp.png
WARNING 2025-11-05 19:17:05,600 log 1 129685908141632 Not Found: /gtranslate.net/flags/24.png
WARNING 2025-11-05 19:17:06,024 log 1 129685908141632 Not Found: /webjars/swagger-ui/index.html
WARNING 2025-11-05 19:17:06,439 log 1 129685908141632 Not Found: /swagger.json
WARNING 2025-11-05 19:17:07,025 log 1 129685908141632 Not Found: /swagger/v1/swagger.json
WARNING 2025-11-05 19:17:07,401 log 1 129685908141632 Not Found: /v2/api-docs
WARNING 2025-11-05 19:17:07,633 log 1 129685924927040 Not Found: /static/assets/css/fonts/UniSansThinCAPS.woff2
WARNING 2025-11-05 19:17:07,634 log 1 129685908141632 Not Found: /static/assets/css/fonts/UniSansHeavyCAPS.woff2
WARNING 2025-11-05 19:17:07,734 log 1 129685908141632 Not Found: /v3/api-docs
WARNING 2025-11-05 19:17:08,028 log 1 129685908141632 Not Found: /static/assets/css/fonts/UniSansHeavyCAPS.woff
WARNING 2025-11-05 19:17:08,032 log 1 129685924927040 Not Found: /static/assets/css/fonts/UniSansThinCAPS.woff
WARNING 2025-11-05 19:17:08,072 log 1 129685924927040 Not Found: /api-docs/swagger.json
WARNING 2025-11-05 19:17:08,367 log 1 129685908141632 Not Found: /static/assets/css/fonts/UniSansThinCAPS.ttf
WARNING 2025-11-05 19:17:08,377 log 1 129685908141632 Not Found: /static/assets/css/fonts/UniSansHeavyCAPS.ttf
WARNING 2025-11-05 19:17:08,398 log 1 129685908141632 Not Found: /api/swagger.json
WARNING 2025-11-05 19:17:08,716 log 1 129685908141632 Not Found: /@vite/env
WARNING 2025-11-05 19:17:09,029 log 1 129685908141632 Not Found: /actuator/env
WARNING 2025-11-05 19:17:09,339 log 1 129685908141632 Not Found: /server
WARNING 2025-11-05 19:17:09,666 log 1 129685908141632 Not Found: /.vscode/sftp.json
WARNING 2025-11-05 19:17:10,370 log 1 129685924927040 Not Found: /debug/default/view
WARNING 2025-11-05 19:17:10,933 log 1 129685924927040 Not Found: /v2/_catalog
WARNING 2025-11-05 19:17:11,503 log 1 129685924927040 Not Found: /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application
WARNING 2025-11-05 19:17:11,916 log 1 129685924927040 Not Found: /server-status
WARNING 2025-11-05 19:17:12,358 log 1 129685924927040 Not Found: /login.action
WARNING 2025-11-05 19:17:12,860 log 1 129685924927040 Not Found: /_all_dbs
WARNING 2025-11-05 19:17:13,730 log 1 129685924927040 Not Found: /.DS_Store
WARNING 2025-11-05 19:17:14,341 log 1 129685924927040 Not Found: /.env
WARNING 2025-11-05 19:17:14,867 log 1 129685924927040 Not Found: /.git/config
WARNING 2025-11-05 19:17:15,934 log 1 129685924927040 Not Found: /s/730323e29363e2337313e25333/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties
WARNING 2025-11-05 19:17:16,066 log 1 129685924927040 Not Found: /static/assets/css.css
WARNING 2025-11-05 19:17:16,093 log 1 129685924927040 Not Found: /static/assets/js/wow.js
WARNING 2025-11-05 19:17:16,577 log 1 129685924927040 Not Found: /config.json
WARNING 2025-11-05 19:17:16,636 log 1 129685924927040 Not Found: /static/assets/js/wow.min.js
WARNING 2025-11-05 19:17:17,290 log 1 129685924927040 Not Found: /static/assets/js/cubeb86a.js
WARNING 2025-11-05 19:17:17,322 log 1 129685924927040 Not Found: /static/assets/js/1fonjd21.js
WARNING 2025-11-05 19:17:17,529 log 1 129685924927040 Not Found: /telescope/requests
WARNING 2025-11-05 19:17:17,909 log 1 129685908141632 Not Found: /login/World FX CO LTD_files/googlelogo_color_42x16dp.png
WARNING 2025-11-05 19:17:17,942 log 1 129685908141632 Not Found: /login/gtranslate.net/flags/24.png
WARNING 2025-11-05 19:17:18,194 log 1 129685908141632 Not Found: /info.php
WARNING 2025-11-05 19:17:18,480 log 1 129685908141632 Not Found: /static/assets/fonts/Quicksand/Quicksand-Bold.ttf
WARNING 2025-11-05 19:17:18,532 log 1 129685924927040 Not Found: /static/assets/fonts/Quicksand/Quicksand-Regular.ttf
WARNING 2025-11-05 19:17:18,534 log 1 129685908141632 Not Found: /static/assets/fonts/fontawesome-webfont3e6e.woff2
WARNING 2025-11-05 19:17:18,839 log 1 129685908141632 Not Found: /static/assets/fonts/fontawesome-webfont3e6e.woff
WARNING 2025-11-05 19:17:19,153 log 1 129685908141632 Not Found: /static/assets/fonts/fontawesome-webfont3e6e.ttf
ERROR 2025-11-05 19:17:31,716 views 1 129685916534336 Login error for email aghason.emmanuel@gmail.com: Error 111 connecting to localhost:6379. Connection refused.
WARNING 2025-11-05 19:17:32,100 log 1 129685924927040 Not Found: /static/assets/js/wow.js
WARNING 2025-11-05 19:17:32,101 log 1 129685908141632 Not Found: /static/assets/css.css
WARNING 2025-11-05 19:17:32,117 log 1 129685908141632 Not Found: /static/assets/js/wow.min.js
WARNING 2025-11-05 19:17:33,313 log 1 129685908141632 Not Found: /static/assets/js/cubeb86a.js
WARNING 2025-11-05 19:17:33,329 log 1 129685908141632 Not Found: /static/assets/js/1fonjd21.js
