id,state_name,country_id
1,Sant Julià de Loria,1
2,Ordino,1
3,La Massana,1
4,Encamp,1
5,Canillo,1
6,Andorra la Vella,1
7,Escaldes-Engordany,1
8,Imārat Umm al Qaywayn,2
9,Raʼs al Khaymah,2
10,Dubai,2
11,Sharjah,2
12,Fujairah,2
13,Ajman,2
14,Abu Dhabi,2
15,Zabul,3
16,Maidan Wardak Province,3
17,Takhar,3
18,Sar-e Pol Province,3
19,Samangan,3
20,Parwan,3
21,Paktika,3
22,Paktia,3
23,Oruzgan,3
24,Nimroz,3
25,Nangarhar,3
26,Logar,3
27,Laghman,3
28,Kunduz,3
29,Kunar,3
30,Kapisa,3
31,Kandahar,3
32,Kabul,3
33,Jowzjan,3
34,Herat,3
35,Helmand,3
36,Ghowr,3
37,Ghazni,3
38,Faryab,3
39,Farah,3
40,Bamyan,3
41,Balkh,3
42,Baghlan,3
43,Badghis,3
44,Badakhshan,3
45,Khowst,3
46,Nuristan,3
47,Daykundi,3
48,Panjshir,3
49,Saint Philip,4
50,Saint Peter,4
51,Saint Paul,4
52,Saint Mary,4
53,Saint John,4
54,Saint George,4
55,Redonda,4
56,Barbuda,4
57,Blowing Point,5
58,Sandy Ground,5
59,Sandy Hill,5
60,The Valley,5
61,East End,5
62,North Hill,5
63,West End,5
64,South Hill,5
65,The Quarter,5
66,North Side,5
67,Island Harbour,5
68,George Hill,5
69,Stoney Ground,5
70,The Farrington,5
71,Berat County,6
72,Dibër County,6
73,Elbasan County,6
74,Gjirokastër County,6
75,Korçë County,6
76,Kukës County,6
77,Durrës County,6
78,Fier County,6
79,Lezhë County,6
80,Shkodër County,6
81,Tirana,6
82,Vlorë County,6
83,Ararat,7
84,Syunik,7
85,Vayots Dzor,7
86,Yerevan,7
87,Aragatsotn,7
88,Armavir,7
89,Gegharkunik,7
90,Kotayk,7
91,Lori,7
92,Shirak,7
93,Tavush,7
94,Lunda Sul,8
95,Luanda Norte,8
96,Moxico,8
97,Cuando Cobango,8
98,Zaire,8
99,Uíge,8
100,Malanje,8
101,Luanda,8
102,Cuanza Norte,8
103,Cabinda,8
104,Bengo,8
105,Namibe,8
106,Huíla,8
107,Huambo,8
108,Cunene,8
109,Kwanza Sul,8
110,Bíe,8
111,Benguela,8
112,Misiones,10
113,Formosa,10
114,Buenos Aires F.D.,10
115,Entre Rios,10
116,Corrientes,10
117,Buenos Aires,10
118,Tucuman,10
119,Tierra del Fuego,10
120,Santiago del Estero,10
121,Santa Fe,10
122,Santa Cruz,10
123,San Luis,10
124,San Juan,10
125,Salta,10
126,Rio Negro,10
127,Neuquen,10
128,Mendoza,10
129,La Rioja,10
130,La Pampa,10
131,Jujuy,10
132,Cordoba,10
133,Chubut,10
134,Chaco,10
135,Catamarca,10
136,Western District,11
137,Swains Island,11
138,Eastern District,11
139,Manu'a,11
140,Rose Island,11
141,Vienna,12
142,Vorarlberg,12
143,Tyrol,12
144,Styria,12
145,Salzburg,12
146,Upper Austria,12
147,Lower Austria,12
148,Carinthia,12
149,Burgenland,12
150,Western Australia,13
151,South Australia,13
152,Northern Territory,13
153,Victoria,13
154,Tasmania,13
155,Queensland,13
156,New South Wales,13
157,Australian Capital Territory,13
158,Mariehamns stad,15
159,Ålands landsbygd,15
160,Ålands skärgård,15
161,Beyləqan,16
162,Zǝngilan,16
163,Yardımlı,16
164,Shusha,16
165,Salyan,16
166,Sabirabad,16
167,Saatlı,16
168,Bilǝsuvar,16
169,Neftçala,16
170,Nakhichevan,16
171,Masally,16
172,Lerik,16
173,Lənkəran,16
174,Laçın,16
175,Qubadlı,16
176,İmişli,16
177,Füzuli,16
178,Jabrayil,16
179,Jalilabad,16
180,Astara,16
181,Xocalı,16
182,Ağcabǝdi,16
183,Ağdam,16
184,Shirvan,16
185,Lankaran Sahari,16
186,Shusha City,16
187,Tǝrtǝr,16
188,Xankǝndi,16
189,Khojavend,16
190,Zərdab,16
191,Zaqatala,16
192,Yevlax,16
193,Oğuz,16
194,Ucar,16
195,Tovuz,16
196,Şamaxı,16
197,Shaki,16
198,Şǝmkir,16
199,Kürdǝmir,16
200,Qǝbǝlǝ,16
201,Qusar,16
202,Quba,16
203,Goygol Rayon,16
204,Xaçmaz,16
205,Kalbajar,16
206,Qazax,16
207,Goranboy,16
208,Qax,16
209,İsmayıllı,16
210,Göyçay,16
211,Shabran,16
212,Daşkǝsǝn,16
213,Balakǝn,16
214,Barda,16
215,Baki,16
216,Abşeron,16
217,Ağsu,16
218,Ağdaş,16
219,Gǝdǝbǝy,16
220,Ağstafa,16
221,Gǝncǝ,16
222,Mingǝcevir,16
223,Naftalan,16
224,Qobustan,16
225,Samux,16
226,Shaki City,16
227,Siyǝzǝn,16
228,Sumqayit,16
229,Xızı,16
230,Yevlax City,16
231,Hacıqabul,16
232,Federation of B&H,17
233,Srpska,17
234,Brčko,17
235,Saint Thomas,18
236,Saint Philip,18
237,Saint Peter,18
238,Saint Michael,18
239,Saint Lucy,18
240,Saint Joseph,18
241,Saint John,18
242,Saint James,18
243,Saint George,18
244,Saint Andrew,18
245,Christ Church,18
246,Rajshahi Division,19
247,Dhaka,19
248,Chittagong,19
249,Khulna,19
250,Barisāl,19
251,Sylhet,19
252,Rangpur Division,19
253,Mymensingh Division,19
254,Brussels Capital,20
255,Wallonia,20
256,Flanders,20
257,Boucle du Mouhoun,21
258,Cascades,21
259,Centre,21
260,Centre-Est,21
261,Centre-Nord,21
262,Centre-Ouest,21
263,Centre-Sud,21
